,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,0.9483368719037509,0.8867924528301887,0.9483368719037509,0.8867924528301887
1,AdaBoost,0.8642368483132814,0.8504716981132076,0.8816937957065346,0.8627358490566037
2,Random Forest,0.9880868129275773,0.8759433962264151,0.8652984194385468,0.9830188679245283
3,Bagging,0.8572776598254305,0.8462264150943396,0.8572776598254305,0.8419811320754716
4,Extra Trees,0.9885586223165841,0.8745283018867924,0.8576315168671856,0.8745283018867924
5,SVC,0.8806322245812692,0.870754716981132,0.8715498938428875,0.8783018867924528
