,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,1.0,0.9952561669829222,1.0,0.9976280834914611
1,AdaBoost,0.9938330170777988,0.9924098671726755,0.9994070208728653,0.9952561669829222
2,Random Forest,1.0,0.9909867172675522,0.9813804554079696,0.9981024667931688
3,Bagging,0.978415559772296,0.9739089184060721,0.9781783681214421,0.9739089184060721
4,Extra Trees,1.0,0.9900379506641366,0.9791271347248577,0.9900379506641366
5,SVC,0.9868358633776091,0.9862428842504743,0.9833965844402277,0.9990512333965844
