,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,1.0,0.9929245283018868,1.0,0.9938679245283019
1,AdaBoost,0.994692144373673,0.9952830188679245,0.999174333569238,0.995754716981132
2,Random Forest,1.0,0.9900943396226415,0.9759377211606511,0.9995283018867924
3,Bagging,0.9701580561453172,0.9745283018867924,0.976409530549658,0.980188679245283
4,Extra Trees,1.0,0.9877358490566037,0.9752300070771408,0.9877358490566037
5,SVC,0.9880868129275773,0.9867924528301887,0.9831328143430055,0.9962264150943396
