,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,0.9844302901627743,0.9415094339622642,0.9844302901627743,0.9415094339622642
1,AdaBoost,0.9141306912007549,0.9066037735849056,0.9306440198159943,0.9202830188679245
2,Random Forest,0.9931587638594008,0.9358490566037736,0.9149563576315168,0.9783018867924528
3,Bagging,0.916135881104034,0.9014150943396226,0.9200283085633404,0.9117924528301887
4,Extra Trees,0.9931587638594008,0.9287735849056604,0.9091766926161831,0.9287735849056604
5,SVC,0.9317055909412597,0.9259433962264151,0.9295824486907289,0.960377358490566
