,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,1.0,0.994811320754717,1.0,0.995754716981132
1,AdaBoost,0.9932767162066525,0.9910377358490566,0.9994102382637414,0.995754716981132
2,Random Forest,1.0,0.9882075471698113,0.9780608634111819,1.0
3,Bagging,0.9707478178815758,0.9627358490566038,0.9723991507430998,0.9660377358490566
4,Extra Trees,1.0,0.9858490566037735,0.9753479594243926,0.9858490566037735
5,SVC,0.9823071479122435,0.9844339622641509,0.9786506251474404,0.9962264150943396
