,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,1.0,0.9915094339622641,1.0,0.9933962264150943
1,AdaBoost,0.9931587638594008,0.9896226415094339,0.9997640953054966,0.995754716981132
2,Random Forest,1.0,0.9910377358490566,0.9815994338287332,1.0
3,Bagging,0.9752300070771408,0.9740566037735849,0.9757018164661477,0.9735849056603774
4,Extra Trees,1.0,0.9872641509433963,0.9786506251474404,0.9872641509433963
5,SVC,0.9871431941495635,0.9839622641509433,0.9843123378155225,0.9976415094339622
