,model,train_accuracy,test_accuracy,train_accuracy_CV,test_accuracy_CV
0,LightGBM,1.0,0.9938679245283019,1.0,0.9962264150943396
1,AdaBoost,0.9974050483604624,0.995754716981132,0.9998820476527482,0.9971698113207547
2,Random Forest,1.0,0.9886792452830189,0.9812455767869781,0.9962264150943396
3,Bagging,0.977589054022175,0.9764150943396226,0.9782967681056853,0.9731132075471698
4,Extra Trees,1.0,0.9886792452830189,0.9817173861759849,0.9886792452830189
5,SVC,0.9906817645671149,0.9933962264150943,0.9885586223165841,0.9985849056603774
