,model,train_accuracy,test_accuracy,holdout_accuracy,train_accuracy_CV,test_accuracy_CV,holdout_accuracy_CV
0,LightGBM,0.9849279161205766,0.9470649895178197,0.9433962264150944,0.9849279161205766,0.9470649895178197,0.9433962264150944
1,AdaBoost,0.9099606815203145,0.9150943396226415,0.9169811320754717,0.9262123197903015,0.9261006289308176,0.9245283018867925
2,Random Forest,0.9927916120576671,0.9386792452830188,0.9433962264150944,0.9182175622542595,0.989517819706499,0.9179245283018868
3,Bagging,0.9171690694626474,0.9056603773584906,0.909433962264151,0.9224115334207077,0.910377358490566,0.9179245283018868
4,Extra Trees,0.9927916120576671,0.9192872117400419,0.9264150943396227,0.9124508519003932,0.9192872117400419,0.9264150943396227
5,SVC,0.9305373525557011,0.9245283018867925,0.9264150943396227,0.9287024901703801,0.9612159329140462,0.940566037735849
